Epoch,Train_Loss,Val_Loss,HR_MAE,HR_RMSE,HR_Pearson,LR,Grad_Norm,GPU_Mem_MB,Epoch_Time_s
1,8752.9248046875,9335.375,96.61868,96.61974,1.0,0.001,1604.51953125,525.74951171875,7.012871503829956
2,8521.068359375,9058.5888671875,95.175476,95.17662,1.0,0.001,1578.746337890625,525.53857421875,3.1046221256256104
3,8310.6142578125,8889.8193359375,94.284676,94.285835,1.0,0.001,1770.1180419921875,526.06982421875,3.0421621799468994
4,8138.759765625,8768.7880859375,93.64064,93.64181,-1.0,0.001,2141.309326171875,525.53857421875,2.8937976360321045
5,8011.8818359375,8659.6259765625,93.05593,93.05711,-1.0,0.001,2365.947509765625,526.06982421875,3.1011295318603516
6,7904.51904296875,8548.232421875,92.45546,92.45665,-1.0,0.001,2560.402099609375,525.53857421875,3.034306287765503
7,7756.8212890625,8435.57421875,91.844185,91.84538,-1.0,0.001,2873.720458984375,526.06982421875,2.8909425735473633
8,7757.98583984375,8321.5791015625,91.22149,91.22269,-1.0,0.001,2824.63330078125,525.53857421875,2.878556251525879
9,7599.15625,8204.5546875,90.57779,90.578995,-1.0,0.001,3067.9599609375,526.06982421875,2.9144890308380127
10,7566.00390625,8084.88671875,89.91478,89.916,-1.0,0.001,3258.734619140625,525.53857421875,2.83974027633667
