Epoch,Train_Loss,Val_Loss,HR_MAE,HR_RMSE,HR_Pearson,LR,Grad_Norm,GPU_Mem_MB,Epoch_Time_s
1,8752.9248046875,9335.375,96.61868,96.61974,1.0,0.001,1604.51953125,525.74951171875,7.58918833732605
2,8521.068359375,9058.5888671875,95.175476,95.17662,1.0,0.001,1578.746337890625,525.53857421875,3.8045787811279297
3,8310.6142578125,8889.8193359375,94.284676,94.285835,1.0,0.001,1770.1180419921875,526.06982421875,3.0531585216522217
4,8138.759765625,8768.7880859375,93.64064,93.64181,-1.0,0.001,2141.309326171875,525.53857421875,3.1409082412719727
5,8011.8818359375,8659.6259765625,93.05593,93.05711,-1.0,0.001,2365.947509765625,526.06982421875,3.1680946350097656
6,7904.51904296875,8548.232421875,92.45546,92.45665,-1.0,0.001,2560.402099609375,525.53857421875,3.0367279052734375
7,7756.8212890625,8435.57421875,91.844185,91.84538,-1.0,0.001,2873.720458984375,526.06982421875,3.0330326557159424
8,7757.98583984375,8321.5791015625,91.22149,91.22269,-1.0,0.001,2824.63330078125,525.53857421875,2.809218645095825
9,7599.15625,8204.5546875,90.57779,90.578995,-1.0,0.001,3067.9599609375,526.06982421875,3.0294201374053955
10,7566.00390625,8084.88671875,89.91478,89.916,-1.0,0.001,3258.734619140625,525.53857421875,2.919471025466919
11,7478.64208984375,7963.3779296875,89.23653,89.23776,-1.0,0.001,3361.19140625,526.06982421875,3.353116273880005
12,7295.59130859375,7838.9052734375,88.536354,88.53759,-1.0,0.001,3705.50634765625,525.53857421875,3.270016670227051
13,7190.693359375,7711.5634765625,87.814255,87.815506,-1.0,0.001,3980.612060546875,526.06982421875,3.2213034629821777
14,7196.5888671875,7581.62548828125,87.07127,87.07253,-1.0,0.001,3991.876953125,525.53857421875,3.2044384479522705
15,6958.05615234375,7448.7197265625,86.304695,86.30597,-1.0,0.001,4323.0048828125,526.06982421875,2.8009824752807617
16,6846.47265625,7313.0888671875,85.51532,85.5166,-1.0,0.001,4489.662109375,525.53857421875,2.9283571243286133
17,6864.0107421875,7175.7001953125,84.708206,84.7095,-1.0,0.001,4640.42431640625,526.06982421875,2.9808924198150635
18,6475.2529296875,7035.2138671875,83.87488,83.87618,-1.0,0.001,5181.33154296875,525.53857421875,3.153964042663574
19,6367.4853515625,6891.66455078125,83.014725,83.01605,1.0,0.001,5213.583984375,526.06982421875,3.110487937927246
20,6243.6513671875,6745.541015625,82.12991,82.13124,1.0,0.001,5571.4794921875,525.53857421875,3.3099217414855957
21,6169.91015625,6597.244140625,81.22208,81.22342,0.0,0.001,5757.04638671875,526.06982421875,3.0382139682769775
22,6142.9306640625,6446.107421875,80.286285,80.28765,0.0,0.001,5570.02294921875,525.53857421875,3.133171796798706
23,5856.7490234375,6292.37744140625,79.32312,79.32451,1.0,0.001,5954.61376953125,526.06982421875,3.2932679653167725
24,5771.369140625,6135.880859375,78.33046,78.33186,-1.0,0.001,5971.13037109375,525.53857421875,3.0375800132751465
25,5725.8564453125,5977.4404296875,77.312485,77.31391,0.0,0.001,6184.60107421875,526.06982421875,3.028320074081421
26,5585.14794921875,5817.64013671875,76.27202,76.27345,-1.0,0.001,6308.615234375,525.53857421875,3.0713303089141846
27,5285.5517578125,5656.263671875,75.20668,75.20814,-1.0,0.001,6400.25048828125,526.06982421875,3.0120325088500977
28,5281.10205078125,5493.80810546875,74.118744,74.120224,-1.0,0.001,6473.04052734375,525.53857421875,2.967315196990967
29,5150.31396484375,5330.2646484375,73.00716,73.00866,-1.0,0.001,6877.15625,526.06982421875,2.981736660003662
30,4836.5458984375,5165.1640625,71.86755,71.86908,-1.0,0.001,6862.8173828125,525.53857421875,3.1041781902313232
31,5108.77490234375,4999.06103515625,70.702484,70.70404,-1.0,0.001,6522.119140625,526.06982421875,3.2810890674591064
32,4757.76708984375,4831.796875,69.50955,69.51113,-1.0,0.001,6911.107421875,525.53857421875,3.1145427227020264
33,4505.984375,4663.359375,68.287186,68.288795,-1.0,0.001,6896.712890625,526.06982421875,3.1533477306365967
34,4459.8701171875,4493.9609375,67.03538,67.03701,1.0,0.001,7036.98095703125,525.53857421875,3.027221202850342
35,4280.8310546875,4324.1923828125,65.75693,65.75859,0.0,0.001,7265.6787109375,526.06982421875,3.1506505012512207
36,3834.75,4154.0673828125,64.45035,64.45206,0.0,0.001,7382.87548828125,525.53857421875,3.064072370529175
37,4025.0244140625,3984.74365234375,63.12309,63.124825,0.0,0.001,7445.775390625,526.06982421875,3.0637447834014893
38,4000.410888671875,3816.462890625,61.775753,61.777527,0.0,0.001,7455.79736328125,525.53857421875,3.039830446243286
39,3501.493896484375,3648.7197265625,60.402817,60.404633,1.0,0.001,7413.76025390625,526.06982421875,3.218360662460327
40,3483.655029296875,3481.70703125,59.00413,59.005993,0.0,0.001,7442.796875,525.53857421875,3.0681326389312744
41,3021.98779296875,3314.82275390625,57.572594,57.574497,0.0,0.001,7534.3818359375,526.06982421875,3.0758161544799805
42,3104.53662109375,3148.35302734375,56.10823,56.110188,-1.0,0.001,7344.89404296875,525.53857421875,3.0783040523529053
43,3101.0205078125,2983.14697265625,54.616188,54.618195,-1.0,0.001,7268.65966796875,526.06982421875,2.94663667678833
44,3042.13037109375,2820.02734375,53.101868,53.10393,-1.0,0.001,7172.8486328125,525.53857421875,2.8907132148742676
45,2510.464599609375,2658.21728515625,51.555775,51.557903,0.0,0.001,7168.47509765625,526.06982421875,3.142979145050049
46,2410.89013671875,2498.11767578125,49.97898,49.981174,-1.0,0.001,7321.3505859375,525.53857421875,3.197014808654785
47,2474.78662109375,2339.922607421875,48.37048,48.372746,0.0,0.001,6961.5703125,526.06982421875,3.0233895778656006
48,2215.4013671875,2184.491943359375,46.736202,46.73855,0.0,0.001,7079.68603515625,525.53857421875,3.0337839126586914
49,2095.462158203125,2032.00341796875,45.075317,45.077747,-1.0,0.001,6709.86865234375,526.06982421875,3.108245611190796
