Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,11.5476,9.5526244e-05,-811076.8373079167,8.57919,1.0225694
2,26.253693,3.4270408e-05,-2944977.0566117046,8.57919,1.0512879
3,46.755466,3.2667118e-05,-2944977.0566117046,8.57919,1.0838618
4,72.49066,0.00017897938,-412546.3437184009,8.57919,1.1175957
5,90.79357,1.8688124e-05,0.0,8.57919,1.1385982
6,95.32189,9.849506e-06,0.0,8.57919,1.1431478
7,87.82047,7.396973e-05,-1264928.8516091933,8.57919,1.1367627
8,100.61405,1.0330249e-05,0.0,8.57919,1.1482655
9,89.145874,1.4609179e-05,0.0,8.57919,1.138137
10,100.70108,0.0,0.0,8.57919,1.1481948
11,100.66738,0.0,0.0,8.57919,1.1483634
12,89.74442,6.9646526e-06,0.0,8.57919,1.1386511
13,100.25086,3.1146874e-06,0.0,8.57919,1.147829
14,92.637535,1.1230165e-05,0.0,8.57919,1.140967
15,88.82608,4.404833e-06,0.0,8.57919,1.1372849
16,100.01484,1.1654092e-05,0.0,8.57919,1.1468208
17,98.65097,5.3947965e-06,0.0,8.57919,1.1456238
18,99.68518,6.229375e-06,0.0,8.57919,1.1464148
19,92.9215,0.0,0.0,8.57919,1.1404554
20,99.3117,7.6293945e-06,-59.90976820414302,8.57919,1.1458681
21,100.42095,0.0,0.0,8.57919,1.1468172
22,94.55724,7.6293945e-06,-59.90976820414302,8.57919,1.141864
23,99.247406,0.0,0.0,8.57919,1.1461018
24,100.38067,7.6293945e-06,-59.90976820414302,8.57919,1.146978
25,96.10873,0.0,0.0,8.57919,1.1433238
26,89.4866,6.229375e-06,0.0,8.57919,1.1375173
27,94.72059,7.6293945e-06,-59.90976820414302,8.57919,1.1410482
28,98.632576,3.1146874e-06,0.0,8.57919,1.1441166
29,98.10284,0.0,0.0,8.57919,1.143287
30,98.78141,6.9646526e-06,0.0,8.57919,1.1437119
31,97.83526,6.9646526e-06,0.0,8.57919,1.1428599
32,102.73553,0.0,0.0,8.57919,1.1469448
33,93.24725,0.0,0.0,8.57919,1.1384717
34,101.26563,8.240688e-06,0.0,8.57919,1.1453043
35,93.80872,9.344062e-06,0.0,8.57919,1.1390984
36,94.02189,6.229375e-06,0.0,8.57919,1.1395758
37,96.472694,0.0,0.0,8.57919,1.141602
