Epoch,Module,Mean_Std
1,Swin_Stage1,1.9792568922042846
1,STDS,0.2485583374897639
1,Temporal,1.0094119310379028
1,Head,nan
2,Swin_Stage1,2.150439586904314
2,STDS,0.3031946255101098
2,Temporal,1.033344844977061
2,Head,nan
3,Swin_Stage1,2.1843585239516363
3,STDS,0.32387784454557633
3,Temporal,1.0639221800698175
3,Head,nan
4,Swin_Stage1,2.195480744043986
4,STDS,0.31890223340855706
4,Temporal,1.0974614951345656
4,Head,nan
5,Swin_Stage1,2.1937201221783957
5,STDS,0.30520331031746334
5,Temporal,1.127293633090125
5,Head,nan
6,Swin_Stage1,2.2025319602754383
6,STDS,0.3054654498895009
6,Temporal,1.1341935926013522
6,Head,nan
7,Swin_Stage1,2.2003312243355646
7,STDS,0.2984929084777832
7,Temporal,1.1405284073617723
7,Head,nan
8,Swin_Stage1,2.2007212241490683
8,STDS,0.2958771346343888
8,Temporal,1.1328861580954657
8,Head,nan
9,Swin_Stage1,2.197964688142141
9,STDS,0.294029821952184
9,Temporal,1.137974010573493
9,Head,nan
10,Swin_Stage1,2.2005172305636935
10,STDS,0.2940396128429307
10,Temporal,1.136466297838423
10,Head,nan
