Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.119783e+01,2.880094e+01,4.867105e+01,1.174205e+02,1.448960e+00,3.567363e+02,0.000000e+00,3.003447e+03,9.713154e-02,8.061346e-01
2,7.841558e-03,1.145783e-02,6.907337e-02,2.798951e-01,9.018585e-03,3.006654e+02,0.000000e+00,6.075630e+03,9.529292e-02,2.769330e-03
3,6.488866e-03,9.350859e-03,5.113321e-02,2.131678e-01,8.057263e-03,3.892995e+02,0.000000e+00,7.590113e+03,9.490399e-02,2.612667e-04
4,5.299636e-03,6.818871e-03,4.666528e-02,1.981619e-01,9.500665e-03,3.188273e+02,0.000000e+00,5.677521e+03,9.480765e-02,9.922711e-04
5,1.384464e-02,1.887702e-02,1.209196e-01,5.234391e-01,2.379262e-02,2.378370e+02,0.000000e+00,3.032241e+03,9.478353e-02,3.454653e-03
6,1.035069e-02,1.504829e-02,6.900240e-02,2.429021e-01,1.028666e-02,3.901612e+02,0.000000e+00,2.946015e+03,9.477665e-02,-2.442451e-04
7,5.962458e-04,7.950718e-04,5.538616e-03,2.766597e-02,1.506642e-03,3.562647e+02,0.000000e+00,3.648722e+03,9.477812e-02,6.529327e-05
8,7.349096e-04,8.827160e-04,5.214466e-03,2.496060e-02,1.288048e-03,3.899996e+02,0.000000e+00,3.237019e+03,9.477913e-02,-1.387057e-04
9,2.373830e-04,2.931031e-04,2.105970e-03,9.278436e-03,5.909642e-04,2.517677e+02,0.000000e+00,3.067935e+03,9.478067e-02,-2.423366e-04
10,2.707578e-04,3.242235e-04,2.287748e-03,9.558045e-03,6.192272e-04,2.732070e+02,0.000000e+00,3.684579e+03,9.478086e-02,3.998689e-05
