Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,12.0141325,2.4929661e-06,0.0,8.57919,1.0223321
2,28.373102,1.9073486e-06,-59.91586489373329,8.57919,1.0514907
3,51.334515,0.0,0.0,8.57919,1.0844485
4,79.45178,6.229375e-06,0.0,8.57919,1.1175216
5,98.026344,1.4273291e-05,0.0,8.57919,1.1376919
6,103.21288,5.3947965e-06,0.0,8.57919,1.1417065
7,89.98688,5.3947965e-06,0.0,8.57919,1.1304075
8,100.6305,5.3947965e-06,0.0,8.57919,1.1393813
9,94.92269,4.404833e-06,0.0,8.57919,1.1348083
10,102.750984,6.229375e-06,0.0,8.57919,1.1413283
