Epoch,Loss,ValLoss,LR,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7835.3048828125,6182.542805989583,1.000000e-03,12.0778,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.985247e+03,3.577854e+02,3.035653e+01,2.833414e+01,5.240848e+01,1.048720e+02,1.246960e+01,98.34,239.40,1.0222,78.1597,78.6292,0.1285,0.0,525.6
2,5747.296516927084,3869.1685384114585,1.000000e-03,28.6293,0.000001,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.070389e+03,3.010799e+02,7.506824e-03,8.807087e-03,7.006732e-02,2.928098e-01,8.816880e-02,808649.44,68849.63,1.0513,61.6082,62.2026,-0.0074,0.0,525.6
3,3263.781502278646,1558.7769368489583,1.000000e-03,51.6995,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,7.563377e+03,3.892494e+02,4.423917e-03,5.376715e-03,3.720626e-02,1.740110e-01,8.757369e-02,1709656.21,86365.86,1.0843,38.5380,39.4813,-0.0074,0.0,525.6
4,1239.0186650594076,182.98064676920572,1.000000e-03,79.7791,0.000019,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.594241e+03,3.169665e+02,4.777457e-03,5.693423e-03,3.992441e-02,1.855218e-01,1.036788e-01,1170966.06,53957.39,1.1174,10.4584,13.5270,0.2463,0.0,525.6
5,316.8237149556478,151.56634012858072,1.000000e-03,99.0672,0.000023,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.971933e+03,2.294707e+02,1.088932e-02,1.325828e-02,8.874253e-02,4.307450e-01,2.322679e-01,272921.88,12795.28,1.1380,8.9167,12.3112,-0.1285,0.0,525.6
6,379.8939280192057,244.8382110595703,1.000000e-03,103.3232,0.000024,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.960719e+03,3.897154e+02,4.824694e-03,6.927452e-03,4.077582e-02,1.690478e-01,1.127926e-01,613659.47,26249.23,1.1414,13.0857,15.6473,0.4193,0.0,525.6
7,356.5019420623779,76.90504964192708,1.000000e-03,92.0548,0.000016,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.691871e+03,3.329938e+02,6.129725e-04,8.384117e-04,5.451690e-03,2.278632e-02,1.791798e-02,6022897.90,206042.75,1.1318,8.5436,8.7696,0.5021,0.0,525.6
8,407.447194480896,176.6400146484375,1.000000e-03,100.3882,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.296388e+03,4.308131e+02,7.796116e-04,9.446309e-04,5.501897e-03,2.294964e-02,1.872803e-02,4228244.64,176013.63,1.1386,10.1507,13.2906,0.6628,0.0,525.6
9,353.8652448117733,97.7261225382487,1.000000e-03,95.1490,0.000000,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.102025e+03,2.349997e+02,2.598055e-04,3.312819e-04,2.223424e-03,8.169273e-03,7.025746e-03,11939798.61,441522.56,1.1342,8.5436,9.8857,0.0000,0.0,525.6
10,430.98637237548826,200.64847310384116,1.000000e-03,101.5089,0.000009,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.715006e+03,2.767970e+02,3.044649e-04,3.812623e-04,2.538307e-03,9.166525e-03,8.166232e-03,12201754.88,454922.90,1.1395,11.2715,14.1650,0.4025,0.0,525.6
