Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,12.021575,1.605273e-06,0.0,8.57919,1.0226122
2,28.379608,1.3486991e-06,0.0,8.57919,1.0518076
3,51.216675,0.0,0.0,8.57919,1.0848578
4,79.187675,0.0,0.0,8.57919,1.1181754
5,98.19192,6.9646526e-06,0.0,8.57919,1.1386318
6,103.26559,0.0,0.0,8.57919,1.1428685
7,88.69593,0.0,0.0,8.57919,1.1310021
8,100.414154,0.0,0.0,8.57919,1.1405905
9,94.6004,3.1146874e-06,0.0,8.57919,1.1356366
10,103.15924,0.0,0.0,8.57919,1.1429278
11,87.57258,4.404833e-06,0.0,8.57919,1.1291124
12,95.07159,5.3947965e-06,0.0,8.57919,1.1354036
13,97.6394,6.229375e-06,0.0,8.57919,1.1374689
14,96.36905,6.9646526e-06,0.0,8.57919,1.1362835
15,94.439125,4.404833e-06,0.0,8.57919,1.1346896
16,101.100586,6.229375e-06,0.0,8.57919,1.1402754
17,97.82917,7.6293945e-06,-59.90976820414302,8.57919,1.1371357
18,101.69361,7.6293945e-06,-59.90976820414302,8.57919,1.1401378
19,103.877625,0.0,0.0,8.57919,1.1415402
20,92.717,0.0,0.0,8.57919,1.1313078
21,94.87759,3.1146874e-06,0.0,8.57919,1.1329548
22,95.02416,7.6293945e-06,-59.90976820414302,8.57919,1.1330023
23,99.58688,0.0,0.0,8.57919,1.1368333
24,101.59319,9.344062e-06,0.0,8.57919,1.1384408
25,96.00518,0.0,0.0,8.57919,1.1335322
26,94.09051,7.6293945e-06,-59.90976820414302,8.57919,1.1317511
27,101.08451,0.0,0.0,8.57919,1.1374396
28,96.97144,7.6293945e-06,-59.90976820414302,8.57919,1.1336129
29,100.2035,7.6293945e-06,-59.90976820414302,8.57919,1.1362153
30,98.30013,8.809666e-06,0.0,8.57919,1.1345459
31,97.146355,7.6293945e-06,-59.90976820414302,8.57919,1.133512
32,98.32214,5.3947965e-06,0.0,8.57919,1.1345015
