Epoch,Module,Mean_Std
1,Swin_Stage1,1.918696363766988
1,STDS,0.2550808231035868
1,Temporal,1.0102891127268474
1,Head,nan
2,Swin_Stage1,2.1323886579937406
2,STDS,0.31525757991605335
2,Temporal,1.0350864066018
2,Head,nan
3,Swin_Stage1,2.1838790310753717
3,STDS,0.3483751465876897
3,Temporal,1.0657485524813335
3,Head,nan
4,Swin_Stage1,2.1931057108773127
4,STDS,0.3363742646243837
4,Temporal,1.0990155670377943
4,Head,nan
5,Swin_Stage1,2.1920773320727878
5,STDS,0.313746963110235
5,Temporal,1.122594760523902
5,Head,nan
6,Swin_Stage1,2.192598674032423
6,STDS,0.2957318789429135
6,Temporal,1.1275396347045898
6,Head,nan
7,Swin_Stage1,2.1926945050557456
7,STDS,0.294140766064326
7,Temporal,1.1239614486694336
7,Head,nan
8,Swin_Stage1,2.192296849356757
8,STDS,0.2926342843307389
8,Temporal,1.1247720850838556
8,Head,nan
9,Swin_Stage1,2.1957966221703424
9,STDS,0.2937604851192898
9,Temporal,1.1262398494614496
9,Head,nan
10,Swin_Stage1,2.1955265204111734
10,STDS,0.2881505067149798
10,Temporal,1.1217775675985548
10,Head,nan
