Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,16.296255,1.3486991e-06,0.0,8.57919,1.0242358
2,35.610214,2.2024165e-06,0.0,8.57919,1.053777
3,60.831097,3.1146874e-06,0.0,8.57919,1.0863706
4,91.38898,1.9943729e-05,0.0,8.57919,1.1201236
5,94.66444,0.00021740427,-279179.97019006,8.57919,1.1260171
6,101.40668,1.5258789e-05,0.0,8.57919,1.1314598
7,85.03524,8.8754925e-05,-660534.1081109671,8.57919,1.1186452
8,99.88694,4.4595537e-05,0.0,8.57919,1.129789
9,89.29333,4.3158372e-05,0.0,8.57919,1.1214986
10,99.36556,3.1916046e-05,0.0,8.57919,1.1291789
