Epoch,Loss,ValLoss,LR,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7467.702880859375,5540.9052734375,1.000000e-03,16.2963,0.000001,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.243982e+03,4.529810e+02,3.202498e+01,2.695807e+01,3.816122e+01,7.306085e+01,1.270800e+01,101.30,255.27,1.0242,73.9412,74.4373,-0.4042,0.0,527.6
2,4996.852360026041,3057.7394205729165,1.000000e-03,35.6102,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.157181e+03,3.591788e+02,2.662419e-03,3.255999e-03,9.816192e-03,1.125566e-01,4.337316e-02,2312626.24,141958.32,1.0538,54.6273,55.2968,0.0470,0.0,527.6
3,2567.1675821940103,938.3372599283854,1.000000e-03,60.8311,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.460618e+03,3.920739e+02,2.333950e-03,2.871950e-03,8.395093e-03,8.716632e-02,4.182146e-02,2768104.86,154480.93,1.0864,29.4064,30.6323,-0.4452,0.0,527.6
4,741.4234118143718,74.92833455403645,1.000000e-03,91.3890,0.000020,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.911381e+03,2.519662e+02,2.972913e-03,3.662245e-03,9.118365e-03,8.968542e-02,4.290516e-02,1315672.60,91163.42,1.1201,8.5436,8.6561,0.4178,0.0,527.6
5,492.121990609169,93.20248667399089,1.000000e-03,94.6644,0.000217,8.5792,-279179.9702,0.000000e+00,0.000000e+00,0.000000e+00,3.461056e+03,6.548272e+02,1.475679e-02,1.717608e-02,6.709076e-02,7.263525e-01,3.149416e-01,234539.93,10989.52,1.1260,8.5437,9.6541,-0.5057,0.0,527.6
6,406.1558072090149,198.35388692220053,1.000000e-03,101.4067,0.000015,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.048480e+03,5.279001e+02,1.034874e-03,1.439080e-03,6.898231e-03,6.455510e-02,2.993010e-02,2945750.01,101853.31,1.1315,11.1692,14.0838,-0.3311,0.0,527.6
7,531.1796511332194,100.66627248128255,1.000000e-03,85.0352,0.000089,8.5792,-660534.1081,0.000000e+00,0.000000e+00,0.000000e+00,3.273279e+03,7.126357e+02,1.042931e-03,1.349887e-03,4.870618e-03,4.425795e-02,2.530996e-02,3138538.13,129327.73,1.1186,8.5437,10.0333,-0.4500,0.0,527.6
8,337.56930185953775,166.71511840820312,1.000000e-03,99.8869,0.000045,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.631163e+03,3.678132e+02,5.629158e-04,6.825500e-04,1.993183e-03,1.832146e-02,1.106745e-02,4674168.56,237738.95,1.1298,9.6495,12.9118,-0.4806,0.0,527.6
9,323.0515312194824,74.49420674641927,1.000000e-03,89.2933,0.000043,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.449010e+03,3.104178e+02,3.955625e-04,5.031637e-04,1.637500e-03,1.539275e-02,9.337215e-03,6191206.95,262284.80,1.1215,8.5436,8.6310,-0.4101,0.0,527.6
10,318.15497233072915,156.92473347981772,1.000000e-03,99.3656,0.000032,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.282220e+03,2.991094e+02,2.961014e-04,3.877498e-04,1.244882e-03,1.391065e-02,8.326123e-03,7707563.09,274103.54,1.1292,9.1281,12.5270,-0.4202,0.0,527.6
