Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.202498e+01,2.695807e+01,3.816122e+01,7.306085e+01,1.270800e+01,4.529810e+02,0.000000e+00,3.243982e+03,0.000000e+00,0.000000e+00
2,2.662419e-03,3.255999e-03,9.816192e-03,1.125566e-01,4.337316e-02,3.591788e+02,0.000000e+00,6.157181e+03,0.000000e+00,0.000000e+00
3,2.333950e-03,2.871950e-03,8.395093e-03,8.716632e-02,4.182146e-02,3.920739e+02,0.000000e+00,6.460618e+03,0.000000e+00,0.000000e+00
4,2.972913e-03,3.662245e-03,9.118365e-03,8.968542e-02,4.290516e-02,2.519662e+02,0.000000e+00,3.911381e+03,0.000000e+00,0.000000e+00
5,1.475679e-02,1.717608e-02,6.709076e-02,7.263525e-01,3.149416e-01,6.548272e+02,0.000000e+00,3.461056e+03,0.000000e+00,0.000000e+00
6,1.034874e-03,1.439080e-03,6.898231e-03,6.455510e-02,2.993010e-02,5.279001e+02,0.000000e+00,3.048480e+03,0.000000e+00,0.000000e+00
7,1.042931e-03,1.349887e-03,4.870618e-03,4.425795e-02,2.530996e-02,7.126357e+02,0.000000e+00,3.273279e+03,0.000000e+00,0.000000e+00
8,5.629158e-04,6.825500e-04,1.993183e-03,1.832146e-02,1.106745e-02,3.678132e+02,0.000000e+00,2.631163e+03,0.000000e+00,0.000000e+00
9,3.955625e-04,5.031637e-04,1.637500e-03,1.539275e-02,9.337215e-03,3.104178e+02,0.000000e+00,2.449010e+03,0.000000e+00,0.000000e+00
10,2.961014e-04,3.877498e-04,1.244882e-03,1.391065e-02,8.326123e-03,2.991094e+02,0.000000e+00,2.282220e+03,0.000000e+00,0.000000e+00
