Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,16.29702,1.7411631e-06,0.0,8.57919,1.0242139
2,35.611904,2.2024165e-06,0.0,8.57919,1.0537565
3,60.83307,3.4823263e-06,0.0,8.57919,1.0863512
4,91.385864,1.9451216e-05,0.0,8.57919,1.1201034
5,94.66337,0.00022352085,-267291.3937539202,8.57919,1.1260104
6,101.4076,1.3929305e-05,0.0,8.57919,1.1314536
7,85.03602,7.507624e-05,-857949.7595285086,8.57919,1.1186466
8,99.862404,4.0967316e-05,0.0,8.57919,1.1297805
9,89.126045,4.0490933e-05,0.0,8.57919,1.1214067
10,99.39681,3.468369e-05,0.0,8.57919,1.1292084
