Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.201046e+01,2.694131e+01,3.813239e+01,7.304942e+01,1.270136e+01,4.530129e+02,0.000000e+00,3.244038e+03,0.000000e+00,0.000000e+00
2,2.691171e-03,3.281194e-03,9.864511e-03,1.127428e-01,4.334078e-02,3.592340e+02,0.000000e+00,6.157406e+03,0.000000e+00,0.000000e+00
3,2.323889e-03,2.847263e-03,8.364713e-03,8.686282e-02,4.160436e-02,3.919237e+02,0.000000e+00,6.460717e+03,0.000000e+00,0.000000e+00
4,2.982803e-03,3.657060e-03,9.132628e-03,8.948541e-02,4.279496e-02,2.519193e+02,0.000000e+00,3.911269e+03,0.000000e+00,0.000000e+00
5,1.503842e-02,1.739456e-02,6.763209e-02,7.283086e-01,3.118909e-01,6.545638e+02,0.000000e+00,3.460026e+03,0.000000e+00,0.000000e+00
6,9.884701e-04,1.382999e-03,6.689255e-03,6.252713e-02,2.964958e-02,5.297107e+02,0.000000e+00,3.048604e+03,0.000000e+00,0.000000e+00
7,1.071867e-03,1.382957e-03,4.882020e-03,4.446161e-02,2.540324e-02,7.156521e+02,0.000000e+00,3.274986e+03,0.000000e+00,0.000000e+00
8,6.293488e-04,7.476352e-04,2.102525e-03,1.861337e-02,1.084846e-02,3.672338e+02,0.000000e+00,2.632344e+03,0.000000e+00,0.000000e+00
9,4.282392e-04,5.352842e-04,1.714163e-03,1.604993e-02,9.304173e-03,3.105737e+02,0.000000e+00,2.449878e+03,0.000000e+00,0.000000e+00
10,3.698846e-04,4.595434e-04,1.334822e-03,1.434061e-02,8.215767e-03,2.961500e+02,0.000000e+00,2.274959e+03,0.000000e+00,0.000000e+00
