Epoch,Module,Mean_Std
1,Swin_Stage1,2.0630381107330322
1,STDS,0.2631605178117752
1,Temporal,1.0102269967397055
1,Head,nan
2,Swin_Stage1,2.278939856423272
2,STDS,0.323144116335445
2,Temporal,1.0350519749853346
2,Head,nan
3,Swin_Stage1,2.297144068611993
3,STDS,0.3478067268927892
3,Temporal,1.065863847732544
3,Head,nan
4,Swin_Stage1,2.3078654607137046
4,STDS,0.33764754484097165
4,Temporal,1.0992796685960557
4,Head,nan
5,Swin_Stage1,2.3134376605351767
5,STDS,0.31494231273730594
5,Temporal,1.1222402784559462
5,Head,nan
