Epoch,Module,Mean_Std
1,Swin_Stage1,2.135207462310791
1,STDS,0.265005416671435
1,Temporal,1.01042582988739
1,Head,nan
2,Swin_Stage1,2.456338710255093
2,STDS,0.3399769432014889
2,Temporal,1.0356431868341234
2,Head,nan
3,Swin_Stage1,2.5118369658788047
3,STDS,0.3719329254494773
3,Temporal,1.0667176511552598
3,Head,nan
4,Swin_Stage1,2.5261254840426974
4,STDS,0.36260273390346104
4,Temporal,1.1003947390450373
4,Head,nan
5,Swin_Stage1,2.5325119627846613
5,STDS,0.3355814201964272
5,Temporal,1.1234252320395575
5,Head,nan
6,Swin_Stage1,2.52420355214013
6,STDS,0.30992841720581055
6,Temporal,1.1281002163887024
6,Head,nan
7,Swin_Stage1,2.521516945627001
7,STDS,0.30423356261518264
7,Temporal,1.1275451978047688
7,Head,nan
8,Swin_Stage1,2.5252917872534857
8,STDS,0.30083813269933063
8,Temporal,1.1246642735269334
8,Head,nan
9,Swin_Stage1,2.5238061348597207
9,STDS,0.30234719316164654
9,Temporal,1.124742415216234
9,Head,nan
10,Swin_Stage1,2.5247066683239408
10,STDS,0.30283648437923855
10,Temporal,1.123877829975552
10,Head,nan
11,Swin_Stage1,2.52672012646993
11,STDS,0.30497286717096966
11,Temporal,1.1252751217948065
11,Head,nan
12,Swin_Stage1,2.5213124487135143
12,STDS,0.30113941927750904
12,Temporal,1.1249849398930867
12,Head,nan
13,Swin_Stage1,2.5242461231019764
13,STDS,0.30102663735548657
13,Temporal,1.1260249945852492
13,Head,nan
14,Swin_Stage1,2.5283410681618586
14,STDS,0.30001652903027004
14,Temporal,1.125235425101386
14,Head,nan
15,Swin_Stage1,2.525342252519396
15,STDS,0.30118808150291443
15,Temporal,1.1223931246333652
15,Head,nan
16,Swin_Stage1,2.524736245473226
16,STDS,0.30437970492574906
16,Temporal,1.1261595553821988
16,Head,nan
17,Swin_Stage1,2.532515631781684
17,STDS,0.3059729006555345
17,Temporal,1.1256646580166287
17,Head,nan
18,Swin_Stage1,2.526689370473226
18,STDS,0.3006725129153993
18,Temporal,1.124250226550632
18,Head,nan
19,Swin_Stage1,2.5217697752846613
19,STDS,0.3002365512980355
19,Temporal,1.1245138181580439
19,Head,nan
20,Swin_Stage1,2.528157459364997
20,STDS,0.3060601188076867
20,Temporal,1.1232099135716755
20,Head,nan
21,Swin_Stage1,2.520377000172933
21,STDS,0.2979120479689704
21,Temporal,1.119840767648485
21,Head,nan
22,Swin_Stage1,2.5269939766989813
22,STDS,0.30288609448406434
22,Temporal,1.1263848808076646
22,Head,nan
23,Swin_Stage1,2.5224737193849354
23,STDS,0.30065825167629456
23,Temporal,1.1219203074773152
23,Head,nan
24,Swin_Stage1,2.5207015673319497
24,STDS,0.30281996644205517
24,Temporal,1.1237970855500963
24,Head,nan
25,Swin_Stage1,2.525457991494073
25,STDS,0.29464630203114617
25,Temporal,1.1234722799725003
25,Head,nan
26,Swin_Stage1,2.522794763247172
26,STDS,0.30741051998403335
26,Temporal,1.119548175070021
26,Head,nan
27,Swin_Stage1,2.527376373608907
27,STDS,0.2954844045970175
27,Temporal,1.1260907120174832
27,Head,nan
28,Swin_Stage1,2.5286996497048273
28,STDS,0.30042730023463565
28,Temporal,1.121571229563819
28,Head,nan
29,Swin_Stage1,2.5260988208982678
29,STDS,0.29639459318584865
29,Temporal,1.1210535102420383
29,Head,nan
