Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,16.310896,2.2024165e-06,0.0,8.57919,1.0245667
2,35.775208,1.5573437e-06,0.0,8.57919,1.0545726
3,61.155773,4.672031e-06,0.0,8.57919,1.0875738
4,90.497215,0.000113760725,-587727.1210760343,8.57919,1.1203169
5,102.39425,7.6293945e-06,0.0,8.57919,1.1319801
6,94.28903,1.2063132e-05,0.0,8.57919,1.1260678
7,97.35476,6.229375e-06,0.0,8.57919,1.127758
8,95.26429,8.809666e-06,0.0,8.57919,1.1259596
9,98.168335,9.344062e-06,0.0,8.57919,1.1281681
10,94.555176,6.229375e-06,0.0,8.57919,1.1252693
11,96.99879,4.404833e-06,0.0,8.57919,1.1268958
12,96.95459,0.0,0.0,8.57919,1.1269858
13,98.75714,7.6293945e-06,0.0,8.57919,1.1286477
14,94.996544,6.9646526e-06,0.0,8.57919,1.1254474
15,97.47421,6.9646526e-06,0.0,8.57919,1.1271237
16,96.76758,6.9646526e-06,0.0,8.57919,1.1263229
17,99.59958,4.404833e-06,0.0,8.57919,1.1285522
18,94.658775,6.229375e-06,0.0,8.57919,1.1243627
19,98.47711,6.229375e-06,0.0,8.57919,1.1273761
20,92.830086,6.9646526e-06,0.0,8.57919,1.1226324
21,97.36805,7.6293945e-06,-59.90976820414302,8.57919,1.1263388
22,96.25097,8.809666e-06,0.0,8.57919,1.1257206
23,92.6607,3.1146874e-06,0.0,8.57919,1.1224753
24,102.612404,6.9646526e-06,0.0,8.57919,1.1298221
25,90.572296,6.9646526e-06,0.0,8.57919,1.1200464
26,97.56988,4.404833e-06,0.0,8.57919,1.1253204
27,100.799866,5.3947965e-06,0.0,8.57919,1.1276876
28,91.53118,9.344062e-06,0.0,8.57919,1.1205753
29,98.612465,4.404833e-06,0.0,8.57919,1.1255584
