Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,STDS,Temporal,Fusion,Head,Alpha_Val,Alpha_Grad
1,3.442023e+01,2.519406e+01,4.694307e+01,1.215066e+02,3.427731e+01,4.408047e+02,0.000000e+00,3.341680e+03,0.000000e+00,0.000000e+00
2,7.067609e-03,9.593646e-03,4.116918e-02,1.276028e-01,7.775975e-02,3.440285e+02,0.000000e+00,5.965100e+03,0.000000e+00,0.000000e+00
3,1.231863e-02,1.470515e-02,5.630171e-02,1.180679e-01,6.846358e-02,3.988088e+02,0.000000e+00,6.584963e+03,0.000000e+00,0.000000e+00
4,1.261215e-02,1.448911e-02,5.120232e-02,9.535170e-02,6.165281e-02,2.633390e+02,0.000000e+00,4.046071e+03,0.000000e+00,0.000000e+00
5,7.538347e-02,7.537534e-02,2.198938e-01,3.687280e-01,2.105968e-01,3.230713e+02,0.000000e+00,2.688414e+03,0.000000e+00,0.000000e+00
6,1.964229e-03,2.599898e-03,1.065371e-02,3.702602e-02,2.836403e-02,3.186782e+02,0.000000e+00,2.604932e+03,0.000000e+00,0.000000e+00
7,2.198557e-03,2.846247e-03,1.121916e-02,2.451354e-02,1.897754e-02,3.546559e+02,0.000000e+00,3.349341e+03,0.000000e+00,0.000000e+00
8,2.480746e-03,3.097711e-03,1.188929e-02,2.424009e-02,1.817731e-02,3.435589e+02,0.000000e+00,2.897533e+03,0.000000e+00,0.000000e+00
9,1.876484e-03,2.173505e-03,7.981887e-03,1.665053e-02,1.186463e-02,2.289626e+02,0.000000e+00,2.304048e+03,0.000000e+00,0.000000e+00
10,3.274233e-03,3.884062e-03,1.401462e-02,2.790131e-02,1.747851e-02,4.025888e+02,0.000000e+00,3.601164e+03,0.000000e+00,0.000000e+00
11,1.004788e-03,1.220639e-03,4.663018e-03,9.817880e-03,7.927048e-03,2.300127e+02,0.000000e+00,2.743942e+03,0.000000e+00,0.000000e+00
12,4.507084e-04,6.466503e-04,2.955471e-03,8.042046e-03,6.662217e-03,2.128465e+02,0.000000e+00,2.432261e+03,0.000000e+00,0.000000e+00
13,5.925854e-04,8.118315e-04,3.609132e-03,9.518237e-03,7.848157e-03,2.566531e+02,0.000000e+00,2.920075e+03,0.000000e+00,0.000000e+00
14,7.344975e-04,8.761500e-04,3.476028e-03,8.667095e-03,7.451699e-03,2.124916e+02,0.000000e+00,2.499442e+03,0.000000e+00,0.000000e+00
15,7.697467e-04,9.616585e-04,3.880758e-03,9.999277e-03,8.685653e-03,2.731109e+02,0.000000e+00,2.828678e+03,0.000000e+00,0.000000e+00
16,3.066148e-04,3.888743e-04,1.613946e-03,4.937323e-03,4.230264e-03,1.624195e+02,0.000000e+00,2.318403e+03,0.000000e+00,0.000000e+00
17,3.126108e-04,4.441732e-04,2.025786e-03,7.056752e-03,5.336019e-03,2.227986e+02,0.000000e+00,2.910690e+03,0.000000e+00,0.000000e+00
18,3.312060e-04,4.097435e-04,1.850679e-03,6.206518e-03,4.469057e-03,1.781512e+02,0.000000e+00,2.367668e+03,0.000000e+00,0.000000e+00
19,2.410073e-04,3.211120e-04,1.517142e-03,5.015240e-03,4.070842e-03,1.842118e+02,0.000000e+00,2.544641e+03,0.000000e+00,0.000000e+00
20,2.613384e-04,3.200292e-04,1.395554e-03,4.681616e-03,4.682675e-03,1.948954e+02,0.000000e+00,2.552039e+03,0.000000e+00,0.000000e+00
21,2.923061e-04,3.861226e-04,1.663391e-03,5.458428e-03,5.410416e-03,2.353431e+02,0.000000e+00,2.908572e+03,0.000000e+00,0.000000e+00
22,2.566034e-04,3.235210e-04,1.425084e-03,3.779029e-03,3.339539e-03,1.733238e+02,0.000000e+00,2.607461e+03,0.000000e+00,0.000000e+00
23,2.906221e-04,4.098635e-04,2.038900e-03,6.065238e-03,5.795940e-03,2.347535e+02,0.000000e+00,2.872448e+03,0.000000e+00,0.000000e+00
24,2.380031e-04,3.343499e-04,1.533281e-03,4.235564e-03,3.771226e-03,2.331314e+02,0.000000e+00,3.193550e+03,0.000000e+00,0.000000e+00
25,3.946164e-04,4.973050e-04,1.880741e-03,5.035199e-03,3.642483e-03,2.134612e+02,0.000000e+00,3.165133e+03,0.000000e+00,0.000000e+00
26,1.697923e-04,1.940936e-04,7.536574e-04,2.214202e-03,2.011486e-03,1.020294e+02,0.000000e+00,1.845431e+03,0.000000e+00,0.000000e+00
27,1.364299e-04,1.694923e-04,7.826032e-04,2.264825e-03,1.893943e-03,1.987451e+02,0.000000e+00,3.021158e+03,0.000000e+00,0.000000e+00
28,2.491468e-04,3.186183e-04,1.607342e-03,4.727677e-03,3.873541e-03,2.272767e+02,0.000000e+00,3.186745e+03,0.000000e+00,0.000000e+00
29,1.433304e-04,1.678886e-04,7.869966e-04,2.390836e-03,2.144358e-03,1.730804e+02,0.000000e+00,2.742334e+03,0.000000e+00,0.000000e+00
