Experiment,Architecture,Dataset,Seed,LR,Batch,Epochs,MAE,RMSE,Pearson,Checkpoint
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\best_model.pth
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\checkpoint_best.pth
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\best_model.pth
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\checkpoint_best.pth
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\best_model.pth
validation_phase3c,PHYSIOFM,Synthetic,42,0.001,2,2,69.6699,69.6699,0.0000,experiments\validation_phase3c\checkpoint_best.pth
EXP01A_BaselineValidation,PHYSIOFM,UBFC-rPPG,42,0.001,4,10,89.9148,89.9160,-1.0000,experiments\EXP01A_BaselineValidation\best_model.pth
EXP01A_BaselineValidation,PHYSIOFM,UBFC-rPPG,42,0.001,4,10,89.9148,89.9160,-1.0000,experiments\EXP01A_BaselineValidation\checkpoint_best.pth
EXP01_Baseline,PHYSIOFM,UBFC-rPPG,42,0.001,4,50,43.3900,43.3925,1.0000,experiments\EXP01_Baseline\best_model.pth
EXP01_Baseline,PHYSIOFM,UBFC-rPPG,42,0.001,4,50,43.3900,43.3925,1.0000,experiments\EXP01_Baseline\checkpoint_best.pth
EXP02_FullBaseline,PHYSIOFM,UBFC-rPPG,42,0.001,2,30,8.5436,8.5826,0.1124,experiments\EXP02_FullBaseline\best_model.pth
EXP02_FullBaseline,PHYSIOFM,UBFC-rPPG,42,0.001,2,100,8.5436,8.5826,0.1124,experiments\EXP02_FullBaseline\checkpoint_best.pth
EXP03_Diagnostics,PHYSIOFM,UBFC-rPPG,42,0.001,2,2,63.9838,64.5564,0.2199,experiments\EXP03_Diagnostics\best_model.pth
EXP03_Diagnostics,PHYSIOFM,UBFC-rPPG,42,0.001,2,2,63.9838,64.5564,0.2199,experiments\EXP03_Diagnostics\checkpoint_best.pth
EXP03_Diagnostics,PHYSIOFM,UBFC-rPPG,42,0.001,2,37,8.5436,8.5933,-0.1702,experiments\EXP03_Diagnostics\best_model.pth
EXP03_Diagnostics,PHYSIOFM,UBFC-rPPG,42,0.001,2,100,8.5436,8.5933,-0.1702,experiments\EXP03_Diagnostics\checkpoint_best.pth
EXP04_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,32,8.5436,8.7166,0.0000,experiments\EXP04_V2\best_model.pth
EXP04_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,100,8.5436,8.7166,0.0000,experiments\EXP04_V2\checkpoint_best.pth
EXP04_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,32,8.5436,8.7166,0.0000,experiments\EXP04_V2\best_model.pth
EXP04_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,100,8.5436,8.7166,0.0000,experiments\EXP04_V2\checkpoint_best.pth
EXP04A_Alpha_0_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7166,0.0000,experiments\EXP04A_Alpha_0_0\best_model.pth
EXP04A_Alpha_0_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7166,0.0000,experiments\EXP04A_Alpha_0_0\checkpoint_best.pth
EXP04A_Alpha_0_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7166,0.0000,experiments\EXP04A_Alpha_0_0\best_model.pth
EXP04A_Alpha_0_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7166,0.0000,experiments\EXP04A_Alpha_0_0\checkpoint_best.pth
EXP04A_Alpha_0_1,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6652,0.1818,experiments\EXP04A_Alpha_0_1\best_model.pth
EXP04A_Alpha_0_1,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6652,0.1818,experiments\EXP04A_Alpha_0_1\checkpoint_best.pth
EXP04A_Alpha_0_5,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.5828,0.7402,experiments\EXP04A_Alpha_0_5\best_model.pth
EXP04A_Alpha_0_5,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.5828,0.7402,experiments\EXP04A_Alpha_0_5\checkpoint_best.pth
EXP04A_Alpha_1_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7696,0.4584,experiments\EXP04A_Alpha_1_0\best_model.pth
EXP04A_Alpha_1_0,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7696,0.4584,experiments\EXP04A_Alpha_1_0\checkpoint_best.pth
EXP05_Fusion_Add,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7706,0.4965,experiments\EXP05_Fusion_Add\best_model.pth
EXP05_Fusion_Add,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7706,0.4965,experiments\EXP05_Fusion_Add\checkpoint_best.pth
EXP05_Fusion_Concat_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6310,-0.4094,experiments\EXP05_Fusion_Concat_V2\best_model.pth
EXP05_Fusion_Concat_V2,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6310,-0.4094,experiments\EXP05_Fusion_Concat_V2\checkpoint_best.pth
EXP06A_Waveform_Supervision,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7731,0.4365,experiments\EXP06A_Waveform_Supervision\best_model.pth
EXP06A_Waveform_Supervision,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.7731,0.4365,experiments\EXP06A_Waveform_Supervision\checkpoint_best.pth
EXP06A_Waveform_Supervision,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6509,-0.4643,experiments\EXP06A_Waveform_Supervision\best_model.pth
EXP06A_Waveform_Supervision,PHYSIOFM,UBFC-rPPG,42,0.001,2,10,8.5436,8.6509,-0.4643,experiments\EXP06A_Waveform_Supervision\checkpoint_best.pth
EXP06B_PrePool_Smoke,PHYSIOFM,UBFC-rPPG,42,0.001,2,5,8.5437,8.6140,-0.4085,experiments\EXP06B_PrePool_Smoke\best_model.pth
EXP06B_PrePool_Smoke,PHYSIOFM,UBFC-rPPG,42,0.001,2,5,8.5437,8.6140,-0.4085,experiments\EXP06B_PrePool_Smoke\checkpoint_best.pth
EXP06C_FeatureNorm,PHYSIOFM,UBFC-rPPG,42,0.001,2,1,73.9266,74.4227,0.2362,experiments\EXP06C_FeatureNorm\best_model.pth
EXP06C_FeatureNorm,PHYSIOFM,UBFC-rPPG,42,0.001,2,1,73.9266,74.4227,0.2362,experiments\EXP06C_FeatureNorm\checkpoint_best.pth
EXP06C_FeatureNorm,PHYSIOFM,UBFC-rPPG,42,0.001,2,29,8.5437,8.5831,-0.1695,experiments\EXP06C_FeatureNorm\best_model.pth
EXP06C_FeatureNorm,PHYSIOFM,UBFC-rPPG,42,0.001,2,100,8.5437,8.5831,-0.1695,experiments\EXP06C_FeatureNorm\checkpoint_best.pth
